id,name,lat,lon,type,fuel,state,country,status,capacity_power,units,capacity_factor,fuel_volume,unit,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,nox_t_yr,emfco,co_t_yr
FOP-4,Kohinoor Energy,31.2632,74.1874818,Furnace Oil,furnace oil,,Pakistan,operating,1244,MW,0.463,1276515224,litres/year,3.69112E-06,235.5882884,2.40412E-06,153.4445337,0.00006594,4208.670694,0.0000066,842.5000479,0.0000006,38.29545672
FOP-5,Rousch Power Limited,30.569074,72.143899,Furnace Oil,gas,,Pakistan,operating,450,MW,0.463,137229022.6,m3/year,0.000000122,0.837097038,1.222E-07,0.838469328,9.6E-09,0.065869931,0.0000016,21.95664361,0.00000134,9.194344511
FOP-6,Saba Power Plant,31.733074,73.8735099,Furnace Oil,furnace oil,,Pakistan,operating,134,MW,0.463,137502443.8,litres/year,3.69112E-06,25.37687351,2.40412E-06,16.52859125,0.00006594,453.3455571,0.0000066,90.75161288,0.0000006,4.125073313
FOP-7,Atlas Power Plant,31.678385,74.0850865,Furnace Oil,furnace oil,,Pakistan,operating,225,MW,0.463,230880969,litres/year,3.69112E-06,42.61042194,2.40412E-06,27.75323158,0.00006594,761.2145548,0.0000066,152.3814395,0.0000006,6.92642907
FOP-8,SAIF POWER PLANT,30.69621,73.2605951,Furnace Oil,gas,,Pakistan,operating,225,MW,0.463,68614511.28,m3/year,0.000000122,0.418548519,1.222E-07,0.419234664,9.6E-09,0.032934965,0.0000016,10.9783218,0.00000134,4.597172256
FOP-9,Orient Power Station,31.18786,73.8900523,Furnace Oil,gas,,Pakistan,operating,225,MW,0.463,68614511.28,m3/year,0.000000122,0.418548519,1.222E-07,0.419234664,9.6E-09,0.032934965,0.0000016,10.9783218,0.00000134,4.597172256
FOP-10,Nishat Power Limited,31.122248,73.9053941,Furnace Oil,furnace oil,,Pakistan,operating,195,MW,0.463,200096839.8,litres/year,3.69112E-06,36.92903235,2.40412E-06,24.05280071,0.00006594,659.7192808,0.0000066,132.0639143,0.0000006,6.002905194
FOP-11,Nishat Chunian Power,31.123387,73.9053045,Furnace Oil,furnace oil,,Pakistan,operating,195,MW,0.463,200096839.8,litres/year,3.69112E-06,36.92903235,2.40412E-06,24.05280071,0.00006594,659.7192808,0.0000066,132.0639143,0.0000006,6.002905194
FOP-12,Sapphire Power Plant,31.760858,74.0333998,Furnace Oil,gas,,Pakistan,operating,225,MW,0.463,68614511.28,m3/year,0.000000122,0.418548519,1.222E-07,0.419234664,9.6E-09,0.032934965,0.0000016,10.9783218,0.00000134,4.597172256
FOP-13,Halmore Power Station,31.633141,73.8703108,Furnace Oil,gas,,Pakistan,operating,225,MW,0.463,68614511.28,m3/year,0.000000122,0.418548519,1.222E-07,0.419234664,9.6E-09,0.032934965,0.0000016,10.9783218,0.00000134,4.597172256
FOP-14,Hubco Narowal Energy,32.059082,74.7812748,Furnace Oil,furnace oil,,Pakistan,operating,214,MW,0.463,219593455,litres/year,3.69112E-06,40.52724575,2.40412E-06,26.39640693,0.00006594,723.999621,0.0000066,144.9316803,0.0000006,6.587803649
FOP-15,Liberty Power Tech,31.699592,73.210921,Furnace Oil,furnace oil,,Pakistan,operating,200,MW,0.463,205227528,litres/year,3.69112E-06,37.87593061,2.40412E-06,24.66953919,0.00006594,676.6351598,0.0000066,135.4501685,0.0000006,6.15682584
FOP-16,Reshma Power,31.246171,74.1778492,Furnace Oil,furnace oil,,Pakistan,operating,96,MW,0.463,98509213.44,litres/year,3.69112E-06,18.18044669,2.40412E-06,11.84137881,0.00006594,324.7848767,0.0000066,65.01608087,0.0000006,2.955276403
FOP-17,Gulf Powergen,32.062449,74.2388696,Furnace Oil,furnace oil,,Pakistan,operating,85,MW,0.463,87221699.4,litres/year,3.69112E-06,16.09727051,2.40412E-06,10.48455415,0.00006594,287.5699429,0.0000066,57.5663216,0.0000006,2.616650982
FOP-18,QATPL,31.605907,73.9058873,Furnace Oil,RLNG,,Pakistan,operating,1180,MW,0.463,359844992.5,m3/year,0.000000122,2.195054454,1.222E-07,2.198652904,9.6E-09,0.172725596,0.0000016,57.5751988,0.00000134,24.1096145
FOP-19,Balloki Power Plant,31.03867,73.924773,Furnace Oil,RLNG,,Pakistan,operating,1223,MW,0.463,372957988,m3/year,0.000000122,2.275043727,1.222E-07,2.278773306,9.6E-09,0.179019834,0.0000016,59.67327808,0.00000134,24.98818519
FOP-20,Haveli Bahadur Shah Power Plant,31.126387,72.1913301,Furnace Oil,RLNG,,Pakistan,operating,1230,MW,0.463,375092661.7,m3/year,0.000000122,2.288065236,1.222E-07,2.291816163,9.6E-09,0.180044478,0.0000016,60.01482586,0.00000134,25.13120833
FOP-21,Chiniot Power,31.611397,72.7607832,Furnace Oil,biofuel,,Pakistan,operating,62,MW,0.463,18907109.77,m3/year,0.000000122,0.11533337,1.222E-07,0.115522441,9.6E-09,0.009075413,0.0000016,3.025137564,0.00000134,1.266776355
FOP-22,Nandipur Power Project,32.242589,74.2691227,Furnace Oil,furnace oil,,Pakistan,operating,425,MW,0.463,436108497,litres/year,3.69112E-06,80.48635255,2.40412E-06,52.42277077,0.00006594,1437.849715,0.0000066,287.831608,0.0000006,13.08325491
FOP-23,Japan Power,31.325543,74.2623156,Furnace Oil,furnace oil,,Pakistan,operating,135,MW,0.463,138528581.4,litres/year,3.69112E-06,25.56625316,2.40412E-06,16.65193895,0.00006594,456.7287329,0.0000066,91.42886372,0.0000006,4.155857442
FOP-24,Southern Electric Power,31.291531,74.2495319,Furnace Oil,furnace oil,,Pakistan,operating,136,MW,0.463,139554719,litres/year,3.69112E-06,25.75563282,2.40412E-06,16.77528665,0.00006594,460.1119087,0.0000066,92.10611457,0.0000006,4.186641571
