id,name,lat,lon,type, fuel,region,country,status,capacity_tonnes,emfpm10, pm10_t_yr,emfpm25, pm25_t_yr,emfso2, so2_t_yr,emfnox, nox_t_yr
CMB-1,Heidelberg Cement Bangladesh Ltd - Kanchpur Plant,23.712851,90.51604759,grinding,,Dhaka Division,Bangladesh,operating,1500000,0.0002223,333.45,0.0001235,185.25,0.0007695,1154.25,0.000494,741
CMB-2,LafargeHolcim Bangladesh Ltd,23.611005,90.613007,grinding,,Dhaka Division,Bangladesh,operating,2707000,0.0002223,601.7661,0.0001235,334.3145,0.0007695,2083.0365,0.000494,1337.258
CMB-3,LafargeHolcim Bangladesh Ltd,22.504972,89.589503,grinding,,Khulna Division,Bangladesh,operating,200000,0.0002223,44.46,0.0001235,24.7,0.0007695,153.9,0.000494,98.8
CMB-4,Shun Shing Cement Mills Ltd,22.317574,91.867925,grinding,,Khulna Division,Bangladesh,operating,1500000,0.0002223,333.45,0.0001235,185.25,0.0007695,1154.25,0.000494,741
CMB-5,Mongla Cement Factory,22.51790184,89.58562037,grinding,,Khulna Division,Bangladesh,operating,1700000,0.0002223,377.91,0.0001235,209.95,0.0007695,1308.15,0.000494,839.8
CMB-6,"
Crown Cement Factory Ltd.",23.576689,90.508382,grinding,,Dhaka Division,Bangladesh,operating,4620000,0.0002223,1027.026,0.0001235,570.57,0.0007695,3555.09,0.000494,2282.28
CMB-7,"
Elephant Brand Cement",22.517834,89.585596,grinding,,Khulna Division,Bangladesh,operating,,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMB-8,Scan Cement Factory,23.568501,90.520327,grinding,,Dhaka Division,Bangladesh,operating,700000,0.0002223,155.61,0.0001235,86.45,0.0007695,538.65,0.000494,345.8
CMB-9,"
Five Rings Cement Industries",22.503884,89.590302,grinding,,Khulna Division,Bangladesh,operating,,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMB-10,Anchor Cement Company,22.652466,90.345293,grinding,,Barisal Division,Bangladesh,operating,1460000,0.0002223,324.558,0.0001235,180.31,0.0007695,1123.47,0.000494,721.24
CMB-11,"
Shah Cement",23.568618,90.524404,grinding,,Dhaka Division,Bangladesh,operating,1860000,0.0002223,413.478,0.0001235,229.71,0.0007695,1431.27,0.000494,918.84
CMB-12,"
Premier cement mills 3/4 point",23.578555,90.513202,grinding,,Dhaka Division,Bangladesh,operating,2400000,0.0002223,533.52,0.0001235,296.4,0.0007695,1846.8,0.000494,1185.6
CMB-13,"
Anwar Cement Ltd.Plant",23.602161,90.624685,grinding,,Dhaka Division,Bangladesh,operating,700000,0.0002223,155.61,0.0001235,86.45,0.0007695,538.65,0.000494,345.8
CMB-14,"
Unique Cement Mills",23.609232,90.61001,grinding,,Dhaka Division,Bangladesh,operating,,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMB-15,N/A,24.127959,89.586911,grinding,,Rajshahi Division,Bangladesh,operating,,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMB-16,Aman Cement Mills Ltd.,24.290893,89.566546,grinding,,Rajshahi Division,Bangladesh,operating,750000,0.0002223,166.725,0.0001235,92.625,0.0007695,577.125,0.000494,370.5
CMB-17,Shun Shing Cement Mills Ltd (Plant 2),22.317574,91.867925,grinding,,Chittagong,Bangladesh,operating,3450000,0.0002223,766.935,0.0001235,426.075,0.0007695,2654.775,0.000494,1704.3
CMB-18,Shun Shing Cement Mills Ltd (Plant 3),23.934081,90.613085,grinding,,Dhaka Division,Bangladesh,operating,3450000,0.0002223,766.935,0.0001235,426.075,0.0007695,2654.775,0.000494,1704.3
CMB-19,Heidelberg Materials Bangladesh PLC. - Chattogram Plant,22.27897277,91.78525692,grinding,,Chittagong,Bangladesh,operating,1300000,0.0002223,288.99,0.0001235,160.55,0.0007695,1000.35,0.000494,642.2
CMB-20,Heidelberg Cement Bangladesh Ltd - Munshiganj Plant,23.56866064,90.52063186,grinding,,Dhaka Division,Bangladesh,operating,600000,0.0002223,133.38,0.0001235,74.1,0.0007695,461.7,0.000494,296.4
CMI-3,RCCPL Pvt Ltd,26.404843,81.130322,grinding,,Uttar Pradesh,India,operating,2000000,0.0002223,444.6,0.0001235,247,0.0007695,1539,0.000494,988
CMI-4,ACC Ltd,26.190592,81.706283,grinding,,Uttar Pradesh,India,operating,0,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMI-5,Ambuja Cements Ltd,30.233638,74.912213,grinding,,Punjab,India,operating,0,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMI-6,Ambuja Cements Ltd,28.570512,77.546556,grinding,,Uttar Pradesh,India,operating,0,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
