id,name,lat,lon,type, fuel,region,country,status,capacities,capacity_power,prod_kw,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,nox_t_yr
CB-1,Barapukuria power station,25.5537569,88.9486312,coal plant,coal,Dinajpur,Bangladesh,"operating, operating, operating","125, 125, 275",525,4599000000,0.00037,85.0815,0.00019,43.6905,0.0072,1655.64,0.0043,988.785
CB-2,Patuakhali power station (RPCL/NORINCO),22.025149,90.312349,coal plant,coal,Patuakhali,Bangladesh,"construction, construction","660, 660",1320,11563200000,0.00037,213.9192,0.00019,109.8504,0.0072,4162.752,0.0043,2486.088
CB-3,Payra power station (BCPCL),21.9997781,90.30558568,coal plant,coal,Patuakhali,Bangladesh,"operating, operating, construction, construction","660, 660, 660, 660",2640,23126400000,0.00037,427.8384,0.00019,219.7008,0.0072,8325.504,0.0043,4972.176
CB-5,Barisal power station,21.963,90.0655,coal plant,coal,Barisal,Bangladesh,operating,350,350,3066000000,0.00037,56.721,0.00019,29.127,0.0072,1103.76,0.0043,659.19
CB-4,Rampal power station,22.5924582,89.556427,coal plant,coal,Khulna,Bangladesh,"operating, construction","660, 660",1320,11563200000,0.00037,213.9192,0.00019,109.8504,0.0072,4162.752,0.0043,2486.088
CI-1,Adani Godda power station,24.81411,87.13547,coal plant,coal,Jharkhand,India,"operating, operating","800, 800",1600,14016000000,0.00037,259.296,0.00019,133.152,0.0072,5045.76,0.0043,3013.44
CI-2,Angul Smelter power station (Meja Urja Nigam Pvt Ltd),25.14587,81.9401,captive power plant,coal,Uttar Pradesh,India,pre-permit,800,800,7008000000,0.00037,129.648,0.00019,66.576,0.0072,2522.88,0.0043,1506.72
CI-3,Angul Smelter power station (Mirzapur Thermal Energy (UP) Pvt Ltd),25.13658,82.5622,captive power plant,coal,Uttar Pradesh,India,pre-permit,800,800,7008000000,0.00037,129.648,0.00019,66.576,0.0072,2522.88,0.0043,1506.72
CI-4,Anpara power station,24.20204,82.78913,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, operating","210, 210, 210, 500, 500",1630,14278800000,0.00037,264.1578,0.00019,135.6486,0.0072,5140.368,0.0043,3069.942
CI-5,Anpara-C power station,24.20379,82.79733,coal plant,coal,Uttar Pradesh,India,"operating, operating","600, 600",1200,10512000000,0.00037,194.472,0.00019,99.864,0.0072,3784.32,0.0043,2260.08
CI-6,Anpara-D power station,24.19626,82.80634,coal plant,coal,Uttar Pradesh,India,"operating, operating","500, 500",1000,8760000000,0.00037,162.06,0.00019,83.22,0.0072,3153.6,0.0043,1883.4
CI-7,Anpara-E power station,26.19278,79.94028,coal plant,coal,Uttar Pradesh,India,"permitted, permitted","660, 660",1320,11563200000,0.00037,213.9192,0.00019,109.8504,0.0072,4162.752,0.0043,2486.088
CI-8,Asansol Crescent power station,23.7845702,87.04724461,coal plant,coal,West Bengal,India,operating,40,40,350400000,0.00037,6.4824,0.00019,3.3288,0.0072,126.144,0.0043,75.336
CI-9,Badarpur Thermal Power Station Stage I,22.9957456,88.4038154,coal plant,coal,West Bengal,India,"operating, operating, operating","95, 95, 95",285,2496600000,0.00037,46.1871,0.00019,23.7177,0.0072,898.776,0.0043,536.769
CI-10,Badarpur Thermal Power Station Stage II,24.714,86.9583,coal plant,coal,Bihar,India,"operating, operating","210, 210",420,3679200000,0.00037,68.0652,0.00019,34.9524,0.0072,1324.512,0.0043,791.028
CI-11,Bakreswar Thermal Power Station Phase I,25.3913756,86.0234883,coal plant,coal,Bihar,India,"operating, operating, operating","210, 210, 210",630,5518800000,0.00037,102.0978,0.00019,52.4286,0.0072,1986.768,0.0043,1186.542
CI-12,Bakreswar Thermal Power Station Phase II,23.8292205,87.451034,coal plant,coal,West Bengal,India,"operating, operating","210, 210",420,3679200000,0.00037,68.0652,0.00019,34.9524,0.0072,1324.512,0.0043,791.028
CI-13,Bandel Thermal Power Station,22.99575,88.40382,coal plant,coal,West Bengal,India,"operating, operating, operating, operating, operating","60, 210, 60, 60, 60",450,3942000000,0.00037,72.927,0.00019,37.449,0.0072,1419.12,0.0043,847.53
CI-14,Bara Thermal Power Project,25.19635,81.65853,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating","660, 660, 660",1980,17344800000,0.00037,320.8788,0.00019,164.7756,0.0072,6244.128,0.0043,3729.132
CI-15,Barauni power station,25.39138,86.02349,coal plant,coal,Bihar,India,"operating, operating, operating, operating","250, 250, 110, 110",720,6307200000,0.00037,116.6832,0.00019,59.9184,0.0072,2270.592,0.0043,1356.048
CI-16,Barh I power station,25.4693,85.74516,coal plant,coal,Bihar,India,"operating, construction, construction","660, 660, 660",1980,17344800000,0.00037,320.8788,0.00019,164.7756,0.0072,6244.128,0.0043,3729.132
CI-17,Barh II power station,25.4865,85.74516,coal plant,coal,Bihar,India,"operating, operating","660, 660",1320,11563200000,0.00037,213.9192,0.00019,109.8504,0.0072,4162.752,0.0043,2486.088
CI-18,Barkhera IPP power station,28.4722,79.80672463,coal plant,coal,Uttar Pradesh,India,"operating, operating","45, 45",90,788400000,0.00037,14.5854,0.00019,7.4898,0.0072,283.824,0.0043,169.506
CI-19,Bilhaur Super Thermal Power Plant,26.76339,80.05806,coal plant,coal,Uttar Pradesh,India,"pre-permit, pre-permit","660, 660",1320,11563200000,0.00037,213.9192,0.00019,109.8504,0.0072,4162.752,0.0043,2486.088
CI-20,Budge Budge Generating Station,22.47034,88.13995,coal plant,coal,West Bengal,India,"operating, operating, operating","250, 250, 250",750,6570000000,0.00037,121.545,0.00019,62.415,0.0072,2365.2,0.0043,1412.55
CI-21,Chandrapur Thermal Power Station (Bihar State Power Holding Co Ltd),25.39138,86.02349,coal plant,coal,Bihar,India,operating,250,250,2190000000,0.00037,40.515,0.00019,20.805,0.0072,788.4,0.0043,470.85
CI-22,Buxar Thermal Power Station,25.46235,83.88257,coal plant,coal,Bihar,India,"construction, construction","660, 660",1320,11563200000,0.00037,213.9192,0.00019,109.8504,0.0072,4162.752,0.0043,2486.088
CI-23,Chunar Cement power station,25.09089,82.89734,captive power plant,coal,Uttar Pradesh,India,operating,38,38,332880000,0.00037,6.15828,0.00019,3.16236,0.0072,119.8368,0.0043,71.5692
CI-24,Churk captive power station,24.6391,83.10109,captive power plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating","60, 60, 60, 60",240,2102400000,0.00037,38.8944,0.00019,19.9728,0.0072,756.864,0.0043,452.016
CI-25,Deenbandhu Chhotu Ram Thermal Power Plant,30.10541,77.32697,coal plant,coal,Haryana,India,"operating, operating","300, 300",600,5256000000,0.00037,97.236,0.00019,49.932,0.0072,1892.16,0.0043,1130.04
CI-26,Durgapur SAIL power station,23.55181,87.24848,captive power plant,coal,West Bengal,India,"operating, operating","60, 60",120,1051200000,0.00037,19.4472,0.00019,9.9864,0.0072,378.432,0.0043,226.008
CI-27,Durgapur Steel City Andal power station,23.58,87.2043,captive power plant,coal,West Bengal,India,"operating, operating","500, 500",1000,8760000000,0.00037,162.06,0.00019,83.22,0.0072,3153.6,0.0043,1883.4
CI-28,Farakka power station,24.77273,87.89371,coal plant,coal,West Bengal,India,"operating, operating, operating, operating, operating, operating","200, 200, 200, 500, 500, 500",2100,18396000000,0.00037,340.326,0.00019,174.762,0.0072,6622.56,0.0043,3955.14
CI-29,Feroze Gandhi Unchahar Power Station,25.91376,81.32724,coal plant,coal,Uttar Pradesh,India,"operating, operating, operating, operating, operating, operating","210, 210, 210, 210, 210, 500",1550,13578000000,0.00037,251.193,0.00019,128.991,0.0072,4888.08,0.0043,2919.27
CI-30,Ghatampur power station,25.975,80.1889,coal plant,coal,Uttar Pradesh,India,"construction, construction, construction","660, 660, 660",1980,17344800000,0.00037,320.8788,0.00019,164.7756,0.0072,6244.128,0.0043,3729.132
CI-31,Guru Hargobind Lehra Mohabbat Power Station,30.26656,75.1661,coal plant,coal,Punjab,India,"operating, operating, operating, operating","210, 210, 250, 250",920,8059200000,0.00037,149.0952,0.00019,76.5624,0.0072,2901.312,0.0043,1732.728
CI-32,Guru Nanak Dev Thermal Power Station (GNDTP) Stage I,28.4850914,76.3731605,coal plant,coal,Haryana,India,"operating, operating, operating, operating","110, 110, 110, 120",450,3942000000,0.00037,72.927,0.00019,37.449,0.0072,1419.12,0.0043,847.53
