id,name,lat,lon,type, fuel,region,country,status,capacity_tonnes,emfpm10, pm10_t_yr,emfpm25, pm25_t_yr,emfso2, so2_t_yr,emfnox, nox_t_yr
PPB-1,Amber Super Paper Ltd,23.80788104,90.54548187,Paper,,Dhaka,Bangladesh,Operating,16093.74,0.000189,3.04171686,0.00012285,1.977115959,0.00043,6.9203082,0.00053,8.5296822
PPB-2,Asia Paper and Board Mills Ltd,23.57903368,90.51213092,Paper,,Dhaka,Bangladesh,Operating,16093.74,0.000189,3.04171686,0.00012285,1.977115959,0.00043,6.9203082,0.00053,8.5296822
PPB-3,Bangladesh Paper Mills Ltd,23.70363035,90.51373167,Paper,,Dhaka,Bangladesh,Operating,16093.74,0.000189,3.04171686,0.00012285,1.977115959,0.00043,6.9203082,0.00053,8.5296822
PPB-4,BCIC Bangladesh Chemical Industries Corp.,23.7267506,90.4191763,Paper,,Dhaka,Bangladesh,Operating,33069.33,0.000189,6.25010337,0.00012285,4.062567191,0.00043,14.2198119,0.00053,17.5267449
PPB-5,BPML Bashundhara Paper Mill Limited- Unit 1,23.61845384,90.61073186,pulp and paper,,Dhaka,Bangladesh,Operating,193455.63,0.0013,251.492319,0.000975,188.6192393,0.005,967.27815,0.0025,483.639075
PPB-6,BPML Bashundhara Paper Mill Limited- Unit 2,23.61418535,90.6193602,pulp and paper,,Dhaka,Bangladesh,Operating,193455.63,0.0013,251.492319,0.000975,188.6192393,0.005,967.27815,0.0025,483.639075
PPB-7,BPML Bashundhara Paper Mill Limited- Unit 3,23.57584222,90.64422299,pulp and paper,,Dhaka,Bangladesh,Operating,193455.63,0.0013,251.492319,0.000975,188.6192393,0.005,967.27815,0.0025,483.639075
PPB-8,"Hashem Paper Mills Ltd, Zeysha Group",23.80363083,90.53658873,Paper,,Dhaka,Bangladesh,Operating,0.00,0.000189,0,0.00012285,0,0.00043,0,0.00053,0
PPB-9,"Hussain Pulp, Paper and Board Mills Ltd",23.63274068,90.46939284,Paper and packaging,,Dhaka,Bangladesh,Operating,0.00,0.0013,0,0.000975,0,0.005,0,0.0025,0
PPB-10,Khulna Newsprint Mills Ltd,22.85529565,89.55099846,Paper,,Khalispur,Bangladesh,Operating,55115.56,0.000189,10.41684084,0.00012285,6.770946546,0.00043,23.6996908,0.00053,29.2112468
PPB-11,"Lipy Paper Mills Ltd, Lipy Group",23.70634033,90.55792858,Paper,,Dhaka,Bangladesh,Operating,0.00,0.000189,0,0.00012285,0,0.00043,0,0.00053,0
PPB-12,"Magura Paper Mills Ltd, BDG-Magura Group",23.61567016,90.61192963,Paper,,Dhaka,Bangladesh,Operating,16534.66,0.000189,3.12505074,0.00012285,2.031282981,0.00043,7.1099038,0.00053,8.7633698
PPB-13,NBPM North Bengal Paper Mills Ltd,24.07612556,89.04865103,Paper,,Paksey,Bangladesh,Operating,16534.66,0.000189,3.12505074,0.00012285,2.031282981,0.00043,7.1099038,0.00053,8.7633698
PPB-14,"Pearl Paper & Board Mills Ltd, Magura Group",23.91844075,90.12938519,Paper,,Dhaka,Bangladesh,Operating,44092.45,0.000189,8.33347305,0.00012285,5.416757483,0.00043,18.9597535,0.00053,23.3689985
PPB-15,Pioneer Paper & Board Mills Ltd,23.57650988,90.64400498,Paper,,Dhaka,Bangladesh,Operating,8851.55,0.000189,1.67294295,0.00012285,1.087412918,0.00043,3.8061665,0.00053,4.6913215
