id,country,name,area,Latitude,Longitude
1,BANGLADESH,"Dinajpur, Dinajpur district, Rangpur Division",677 m2,25.63361111,88.65861111
2,BANGLADESH,"Jessore - Narail Hwy, Fatehpur, Jashore","1,020 m2",23.16277778,89.24194444
3,BANGLADESH,"Jirabo, Savar, Savar Subdistrict",666 m2,23.92277778,90.31833333
4,BANGLADESH,"Jirabo, Savar, Savar Subdistrict","1,001 m2",23.90777778,90.3125
5,BANGLADESH,"Jirabo, Savar, Savar Subdistrict",89 m2,23.91638889,90.30388889
6,BANGLADESH,"Baipail, Savar, Savar Subdistrict",7 m2,23.92861111,90.27055556
7,BANGLADESH,"N R CNG Filling Station ?? ?? ?????? ????? ??????, Dhaka - Aricha Highway, Aminbazar","62,430 m2",23.79777778,90.30111111
8,BANGLADESH,"Keraniganj Subdistrict, Dhaka District, Dhaka Division","12,263 m2",23.77305556,90.24
9,BANGLADESH,"Nabinagar - Chandra Highway, Savar Subdistrict, Gazipur District","1,386 m2",23.98111111,90.26111111
10,BANGLADESH,"Nabinagar - Chandra Highway, Baipail, Sreepur",714 m2,23.97166667,90.265
11,BANGLADESH,"Faridpur, Faridpur Sadar, Faridpur District","2,227 m2",23.62277778,89.84527778
12,BANGLADESH,"Green Model Town, Dhaka, Dhaka Metropolitan","21,289 m2",23.72027778,90.45194444
13,BANGLADESH,"N404, Tangail, Tangail District","1,334 m2",24.27944444,89.91861111
14,INDIA,"Sampatchak, Patna District, Bihar","3,272 m2",25.56611111,85.17805556
15,INDIA,"Gorakhpur, Uttar Pradesh, 273001",862 m2,26.72722222,83.34361111
16,INDIA,"Kasya, Kushinagar, Uttar Pradesh",843 m2,26.75361111,83.95305556
17,INDIA,"Barharganj, NH730, Padrauna","1,455 m2",26.92388889,83.92055556
18,INDIA,"Sadar, Varanasi, Uttar Pradesh",754 m2,25.21416667,82.92
19,INDIA,"Azamgarh, Uttar Pradesh, 276001",899 m2,26.02555556,83.12722222
20,INDIA,"Kishanganj, Kishanganj district, Bihar",830 m2,26.11527778,87.955
21,INDIA,"Mansahi, Katihar, Bihar",294 m2,25.50861111,87.57722222
22,INDIA,"Bahraich, Uttar Pradesh, 271801","1,900 m2",27.58888889,81.60083333
23,INDIA,"Dhaurahara, Kheri, Uttar Pradesh","1,033 m2",27.88805556,81.11972222
24,INDIA,"Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I",512 m2,22.17138889,88.22861111
25,INDIA,"Falta Special Economic Zone, Diamond Harbour - II, South 24 Parganas",923 m2,22.28111111,88.10083333
26,INDIA,"Digha Contai Road, Contai, Contai-I","5,135 m2",21.765,87.73027778
27,INDIA,"Midnapore, Paschim Medinipur, West Bengal",176 m2,22.42416667,87.2925
28,INDIA,"Midnapore, Paschim Medinipur, West Bengal","5,944 m2",22.42222222,87.34083333
29,INDIA,"Kharagpur, Kharagpur-I, Paschim Medinipur","1,042 m2",22.3325,87.29861111
30,INDIA,"SH14, Dubrajpur, Birbhum",639 m2,23.79222222,87.39722222
31,INDIA,"Krishnanagar City, Krishnanagar, Krishnagar-I","2,187 m2",23.405,88.51138889
32,INDIA,"Badu, Barasat - II, North 24 Parganas","4,450 m2",22.69138889,88.50111111
33,INDIA,"Nilgunj Road, Kamarhati, Barrackpur - II","1,769 m2",22.67861111,88.38
34,INDIA,"Sodepur, Panihati, Barrackpur - II","1,484 m2",22.69166667,88.38583333
35,INDIA,"Barasat, Barasat - I, North 24 Parganas","3,030 m2",22.70555556,88.51861111
36,INDIA,"Halisahar, Barrackpur - I, North 24 Parganas",957 m2,22.92888889,88.42055556
37,INDIA,"Kanchrapara, Barrackpur - I, North 24 Parganas","1,254 m2",22.94916667,88.43277778
38,INDIA,"Kalyani-Barrackpur expressway, Kalyani, Chakdah",378 m2,22.96055556,88.43888889
39,INDIA,"Naihati, Barrackpur - I, North 24 Parganas","2,660 m2",22.89527778,88.41055556
40,INDIA,"Jaggadal, Barrackpur - I, North 24 Parganas","5,622 m2",22.85972222,88.38805556
41,INDIA,"Chunchura, Chinsurah - Magra, Hugli",693 m2,22.89305556,88.3775
42,INDIA,"Chandannagar, Singur, Hugli",256 m2,22.87194444,88.35972222
