id,name,lat,lon,type, fuel,region,country,status,capacity_tonnes,emfpm10, pm10_t_yr,emfpm25,pm25_t_yr,emfso2,�so2_t_yr,emfnox,nox_t_yr,source
WSB-1,OpenStreetMap Landfill,23.79789347,90.30034971,Dumpsites,,,Bangladesh,operating_status,0,,,,,,,,,
WSB-2,"Dinajpur, Dinajpur district, Rangpur Division",25.63361111,88.65861111,Plastic_waste,,,Bangladesh,operating_status,677,,,,,,,,,
WSB-3,"Jessore - Narail Hwy, Fatehpur, Jashore",23.16277778,89.24194444,Plastic_waste,,,Bangladesh,operating_status,"1,020",,,,,,,,,
WSB-4,"Jirabo, Savar, Savar Subdistrict",23.92277778,90.31833333,Plastic_waste,,,Bangladesh,operating_status,666,,,,,,,,,
WSB-5,"Jirabo, Savar, Savar Subdistrict",23.90777778,90.3125,Plastic_waste,,,Bangladesh,operating_status,"1,001",,,,,,,,,
WSB-6,"Jirabo, Savar, Savar Subdistrict",23.91638889,90.30388889,Plastic_waste,,,Bangladesh,operating_status,89,,,,,,,,,
WSB-7,"Baipail, Savar, Savar Subdistrict",23.92861111,90.27055556,Plastic_waste,,,Bangladesh,operating_status,7,,,,,,,,,
WSB-8,"N R CNG Filling Station ?? ?? ?????? ????? ??????, Dhaka - Aricha Highway, Aminbazar",23.79777778,90.30111111,Plastic_waste,,,Bangladesh,operating_status,"62,430",,,,,,,,,
WSB-9,"Keraniganj Subdistrict, Dhaka District, Dhaka Division",23.77305556,90.24,Plastic_waste,,,Bangladesh,operating_status,"12,263",,,,,,,,,
WSB-10,"Nabinagar - Chandra Highway, Savar Subdistrict, Gazipur District",23.98111111,90.26111111,Plastic_waste,,,Bangladesh,operating_status,"1,386",,,,,,,,,
WSB-11,"Nabinagar - Chandra Highway, Baipail, Sreepur",23.97166667,90.265,Plastic_waste,,,Bangladesh,operating_status,714,,,,,,,,,
WSB-12,"Faridpur, Faridpur Sadar, Faridpur District",23.62277778,89.84527778,Plastic_waste,,,Bangladesh,operating_status,"2,227",,,,,,,,,
WSB-13,"Green Model Town, Dhaka, Dhaka Metropolitan",23.72027778,90.45194444,Plastic_waste,,,Bangladesh,operating_status,"21,289",,,,,,,,,
WSB-14,"N404, Tangail, Tangail District",24.27944444,89.91861111,Plastic_waste,,,Bangladesh,operating_status,"1,334",,,,,,,,,
WSI-15,OpenStreetMap Landfill,26.44879069,80.23414917,Dumpsites,,,India,operating_status,0,,,,,,,,,
WSI-16,OpenStreetMap Landfill,28.51897629,77.31985554,Dumpsites,,,India,operating_status,0,,,,,,,,,
WSI-17,"Mandi Dabwali, Dabwali, Sirsa",29.95810865,74.69024591,Dumpsites,,,India,operating_status,2085.05,,,,,,,,,
WSI-18,OpenStreetMap Landfill,25.21651689,87.57223101,Dumpsites,,,India,operating_status,0,,,,,,,,,
WSI-19,OpenStreetMap Landfill,25.19760546,87.66314084,Dumpsites,,,India,operating_status,0,,,,,,,,,
WSI-20,"Gp Block, Bhangar - Ii, South 24 Parganas",22.56436129,88.44814159,Dumpsites,,,India,operating_status,39800.24,,,,,,,,,
WSI-21,"Abohar, Abohar Tahsil, Fazilka",30.14190134,74.18220034,Dumpsites,,,India,operating_status,17116.26,,,,,,,,,
WSI-22,"Foster Supermarket, E331, Indiaustrial Area",30.7096419,76.68254875,Dumpsites,,,India,operating_status,13429.59,,,,,,,,,
